







------------------
3 2
1.0 1.0 10.0
-1.0 1.0 5.0
1.0 -1.0 6.0
-1.0 -1.0 4.0
1.0 0.0 8.0
0.0 1.0 7.0
2.0 1.0 15.0
1.0 2.0 14.0
-2.0 1.0 3.0
1.0 -2.0 4.0
--------------------
-100 100
1.0 1.0 10.0
-1.0 1.0 5.0
1.0 -1.0 6.0
-1.0 -1.0 4.0
1.0 0.0 8.0
0.0 1.0 7.0
2.0 1.0 15.0
1.0 2.0 14.0
-2.0 1.0 3.0
1.0 -2.0 4.0
----------------
-100 100
1 6 20
2 -2 18
-5 2 3
8 3 60
-1 -3 8
-7 -4 38
----------------
-3 100
2 7 10
-2 3 5
0 -10 10
-------------------
-100 100
8 16 70
4 1 21
2 4 18
2 1 31
11 9 74
-7 2 14
7 1 1
1 7 3
-9 1 13
19 1 100
20 1 230
39 2 330
--------------------
не попадают т в область 
-50 100
8 16 70
9 17 70
10 16 76
2 4 8
1 2 10
4 1 21
8 1 42
2 1 16
3 2 19
2 4 18
1 3 9
2 4 20
3 4 50
2 5 60
1 2 40
2 11 31
4 22 61
2 11 70
2 12 80
3 14 90
4 15 100
5 17 120
11 9 74
-7 2 14
7 1 1
1 7 3
-9 1 13
19 1 100
20 1 230
39 2 330
-1 -1 600
-------------
-100 100
2 -2 230
1 -1 100
-5 6 600
-1 2 130
-1 1 100
-2 -3 200
-1 -1 100
-2 -1 120
-1 -2 100
-1 -1 90
2 4 90
1 1 40
1 1 50
4 7 80
1 1 7
20 7 500
1 2 13
1 1 70
2 5 80
1 3 14
10 4 90
1 2 9
1 1 8
2 7 10
-2 3 5
0 -10 10

